Question,Your_Answer,Round,TimeStamp
134 - 51 = ,83, 1,26/8/2017 1:21:28 PM
67 + 88 = ,155, 1,26/8/2017 1:21:28 PM
53 + 88 = ,141, 1,26/8/2017 1:21:28 PM
68 + 90 = ,158, 1,26/8/2017 1:21:28 PM
73 + 119 = ,192, 1,26/8/2017 1:21:28 PM
75 + 115 = ,190, 1,26/8/2017 1:21:28 PM
63 + 76 = ,139, 1,26/8/2017 1:21:28 PM
67 + 76 = ,143, 1,26/8/2017 1:21:28 PM
105 + 63 = ,168, 1,26/8/2017 1:21:28 PM
103 + 67 = ,170, 1,26/8/2017 1:21:28 PM
54 + 129 = ,183, 1,26/8/2017 1:21:28 PM
110 + 72 = ,182, 1,26/8/2017 1:21:28 PM
53 + 108 = ,161, 1,26/8/2017 1:21:28 PM
76 + 63 = ,139, 1,26/8/2017 1:21:28 PM
134 - 71 = ,63, 1,26/8/2017 1:21:28 PM
53 + 141 = ,194, 1,26/8/2017 1:21:28 PM
59 + 132 = ,191, 1,26/8/2017 1:21:28 PM
74 + 91 = ,165, 1,26/8/2017 1:21:28 PM
134 + 54 = ,188, 1,26/8/2017 1:21:28 PM
136 + 59 = ,195, 2,26/8/2017 1:26:07 PM
102 + 69 = ,171, 2,26/8/2017 1:26:07 PM
57 + 126 = ,183, 2,26/8/2017 1:26:07 PM
67 + 120 = ,187, 2,26/8/2017 1:26:07 PM
107 + 66 = ,173, 2,26/8/2017 1:26:07 PM
67 + 106 = ,173, 2,26/8/2017 1:26:07 PM
95 + 50 = ,145, 2,26/8/2017 1:26:07 PM
119 + 73 = ,192, 2,26/8/2017 1:26:07 PM
93 + 62 = ,155, 2,26/8/2017 1:26:07 PM
108 + 88 = ,196, 2,26/8/2017 1:26:07 PM
75 + 70 = ,145, 2,26/8/2017 1:26:07 PM
79 + 116 = ,195, 2,26/8/2017 1:26:07 PM
64 + 60 = ,124, 2,26/8/2017 1:26:07 PM
60 + 88 = ,148, 2,26/8/2017 1:26:07 PM
76 + 109 = ,185, 2,26/8/2017 1:26:07 PM
76 + 118 = ,194, 2,26/8/2017 1:26:07 PM
83 + 115 = ,198, 2,26/8/2017 1:26:07 PM
127 - 64 = ,63, 2,26/8/2017 1:26:07 PM
120 + 60 = ,180, 2,26/8/2017 1:26:07 PM
52 + 81 = ,133, 2,26/8/2017 1:26:07 PM
50 + 132 = ,182, 3,26/8/2017 1:30:23 PM
90 + 66 = ,156, 3,26/8/2017 1:30:23 PM
72 + 82 = ,154, 3,26/8/2017 1:30:23 PM
150 - 63 = ,87, 3,26/8/2017 1:30:23 PM
61 + 86 = ,147, 3,26/8/2017 1:30:23 PM
126 - 59 = ,67, 3,26/8/2017 1:30:23 PM
54 + 118 = ,172, 3,26/8/2017 1:30:23 PM
59 + 51 = ,110, 3,26/8/2017 1:30:23 PM
92 + 71 = ,163, 3,26/8/2017 1:30:23 PM
136 - 51 = ,85, 3,26/8/2017 1:30:23 PM
123 - 62 = ,61, 3,26/8/2017 1:30:23 PM
88 + 74 = ,162, 3,26/8/2017 1:30:23 PM
114 + 67 = ,181, 3,26/8/2017 1:30:23 PM
107 + 91 = ,198, 3,26/8/2017 1:30:23 PM
99 + 82 = ,181, 3,26/8/2017 1:30:23 PM
69 + 90 = ,159, 3,26/8/2017 1:30:23 PM
109 + 62 = ,171, 3,26/8/2017 1:30:23 PM
123 + 54 = ,177, 3,26/8/2017 1:30:23 PM
50 + 130 = ,180, 3,26/8/2017 1:30:23 PM
58 + 80 = ,138, 3,26/8/2017 1:30:23 PM
77 + 94 = ,171, 4,26/8/2017 1:34:10 PM
116 + 70 = ,186, 4,26/8/2017 1:34:10 PM
52 + 60 = ,112, 4,26/8/2017 1:34:10 PM
127 + 61 = ,188, 4,26/8/2017 1:34:10 PM
82 + 93 = ,175, 4,26/8/2017 1:34:10 PM
122 + 76 = ,198, 4,26/8/2017 1:34:10 PM
67 + 59 = ,126, 4,26/8/2017 1:34:10 PM
137 + 57 = ,194, 4,26/8/2017 1:34:10 PM
78 + 90 = ,168, 4,26/8/2017 1:34:10 PM
86 + 83 = ,169, 4,26/8/2017 1:34:10 PM
141 + 50 = ,191, 4,26/8/2017 1:34:10 PM
59 + 123 = ,182, 4,26/8/2017 1:34:10 PM
64 + 130 = ,194, 4,26/8/2017 1:34:10 PM
50 + 144 = ,194, 4,26/8/2017 1:34:10 PM
67 + 118 = ,185, 4,26/8/2017 1:34:10 PM
57 + 126 = ,183, 4,26/8/2017 1:34:10 PM
71 + 113 = ,184, 4,26/8/2017 1:34:10 PM
75 + 55 = ,130, 4,26/8/2017 1:34:10 PM
55 + 140 = ,195, 4,26/8/2017 1:34:10 PM
138 - 73 = ,65, 4,26/8/2017 1:34:10 PM
63 + 73 = ,136, 5,26/8/2017 1:38:26 PM
70 + 61 = ,131, 5,26/8/2017 1:38:26 PM
87 + 64 = ,151, 5,26/8/2017 1:38:26 PM
53 + 59 = ,112, 5,26/8/2017 1:38:26 PM
65 + 94 = ,159, 5,26/8/2017 1:38:26 PM
127 + 63 = ,190, 5,26/8/2017 1:38:26 PM
59 + 66 = ,125, 5,26/8/2017 1:38:26 PM
74 + 94 = ,168, 5,26/8/2017 1:38:26 PM
90 + 96 = ,186, 5,26/8/2017 1:38:26 PM
54 + 123 = ,177, 5,26/8/2017 1:38:26 PM
59 + 75 = ,134, 5,26/8/2017 1:38:26 PM
114 + 66 = ,180, 5,26/8/2017 1:38:26 PM
89 + 91 = ,180, 5,26/8/2017 1:38:26 PM
89 + 82 = ,171, 5,26/8/2017 1:38:26 PM
85 + 80 = ,165, 5,26/8/2017 1:38:26 PM
150 - 52 = ,98, 5,26/8/2017 1:38:26 PM
