Question,Your_Answer,Correct_Answer,Round,TimeStamp
571 - 144 = ,327, 427, 1,27/8/2017 7:25:16 PM
545 - 437 = ,88, 108, 1,27/8/2017 7:25:16 PM
580 + 367 = ,847, 947, 1,27/8/2017 7:25:16 PM
740 - 322 = ,448, 418, 1,27/8/2017 7:25:16 PM
784 - 136 = ,548, 648, 1,27/8/2017 7:25:16 PM
663 - 415 = ,148, 248, 2,27/8/2017 7:35:41 PM
863 - 339 = ,424, 524, 2,27/8/2017 7:35:41 PM
804 - 151 = ,643, 653, 3,27/8/2017 7:45:00 PM
690 + 274 = ,864, 964, 4,27/8/2017 7:51:59 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
34+45=,, 0, 0,27/8/2017 8:16:19 PM
