Question,Your_Answer,Round,TimeStamp
30 + 88 = ,118, 1,18/8/2017 8:30:21 PM
39 + 86 = ,125, 1,18/8/2017 8:30:21 PM
64 + 27 = ,91, 1,18/8/2017 8:30:21 PM
63 + 26 = ,89, 1,18/8/2017 8:30:21 PM
24 + 45 = ,69, 1,18/8/2017 8:30:21 PM
45 + 87 = ,132, 1,18/8/2017 8:30:21 PM
71 + 58 = ,129, 1,18/8/2017 8:30:21 PM
54 + 99 = ,153, 1,18/8/2017 8:30:21 PM
95 - 27 = ,68, 1,18/8/2017 8:30:21 PM
75 + 92 = ,167, 1,18/8/2017 8:30:21 PM
98 + 47 = ,145, 1,18/8/2017 8:30:21 PM
66 + 14 = ,80, 1,18/8/2017 8:30:21 PM
78 - 27 = ,51, 1,18/8/2017 8:30:21 PM
95 + 13 = ,108, 1,18/8/2017 8:30:21 PM
27 + 97 = ,124, 1,18/8/2017 8:30:21 PM
19 + 32 = ,51, 1,18/8/2017 8:30:21 PM
93 + 23 = ,116, 1,18/8/2017 8:30:21 PM
60 + 80 = ,140, 2,18/8/2017 8:46:55 PM
92 + 80 = ,172, 2,18/8/2017 8:46:55 PM
92 - 24 = ,68, 2,18/8/2017 8:46:55 PM
73 + 61 = ,134, 2,18/8/2017 8:46:55 PM
77 - 15 = ,62, 2,18/8/2017 8:46:55 PM
94 + 72 = ,166, 2,18/8/2017 8:46:55 PM
75 + 65 = ,140, 2,18/8/2017 8:46:55 PM
81 + 80 = ,161, 2,18/8/2017 8:46:55 PM
74 - 23 = ,51, 2,18/8/2017 8:46:55 PM
86 - 21 = ,65, 2,18/8/2017 8:46:55 PM
15 + 63 = ,78, 2,18/8/2017 8:46:55 PM
35 + 42 = ,77, 2,18/8/2017 8:46:55 PM
78 + 95 = ,173, 2,18/8/2017 8:46:55 PM
68 + 80 = ,148, 2,18/8/2017 8:46:55 PM
93 + 45 = ,138, 2,18/8/2017 8:46:55 PM
78 + 66 = ,144, 2,18/8/2017 8:46:55 PM
26 + 75 = ,101, 2,18/8/2017 8:46:55 PM
78 + 13 = ,91, 2,18/8/2017 8:46:55 PM
95 - 27 = ,68, 3,18/8/2017 8:55:01 PM
51 + 79 = ,130, 3,18/8/2017 8:55:01 PM
50 + 31 = ,81, 3,18/8/2017 8:55:01 PM
17 + 67 = ,84, 3,18/8/2017 8:55:01 PM
77 + 85 = ,162, 3,18/8/2017 8:55:01 PM
77 + 97 = ,174, 3,18/8/2017 8:55:01 PM
73 + 62 = ,135, 3,18/8/2017 8:55:01 PM
29 + 44 = ,73, 3,18/8/2017 8:55:01 PM
64 + 96 = ,160, 3,18/8/2017 8:55:01 PM
74 + 80 = ,154, 3,18/8/2017 8:55:01 PM
25 + 74 = ,99, 3,18/8/2017 8:55:01 PM
