Question,Your_Answer,Correct_Answer,Round,TimeStamp
96 - 62 = ,38, 34, 1,15/8/2017 4:00:18 PM
49 + 38 = ,, 87, 1,15/8/2017 4:00:18 PM
26 + 36 = ,, 62, 1,15/8/2017 4:00:18 PM
56 + 29 = ,65, 85, 6,15/8/2017 4:18:51 PM
20 + 17 = ,19, 37, 6,15/8/2017 4:18:51 PM
72 - 59 = ,12, 13, 13,15/8/2017 5:01:21 PM
88 - 17 = ,61, 71, 15,15/8/2017 5:17:30 PM
60 - 31 = ,91, 29, 31,15/8/2017 8:04:35 PM
78 + 18 = ,86, 96, 33,15/8/2017 8:12:44 PM
94 - 42 = ,48, 52, 34,15/8/2017 8:16:58 PM
46 + 52 = ,, 98, 1,15/8/2017 8:50:20 PM
58 + 36 = ,, 94, 1,15/8/2017 8:50:20 PM
86 - 17 = ,, 69, 1,15/8/2017 8:50:20 PM
67 + 56 = ,, 123, 1,15/8/2017 8:50:20 PM
66 + 85 = ,, 151, 1,15/8/2017 8:50:20 PM
94 - 22 = ,, 72, 1,15/8/2017 8:50:20 PM
80 - 23 = ,, 57, 1,15/8/2017 8:50:20 PM
54 + 12 = ,, 66, 1,15/8/2017 8:50:20 PM
92 - 31 = ,, 61, 1,15/8/2017 8:50:20 PM
76 + 40 = ,, 116, 1,15/8/2017 8:50:20 PM
89 - 32 = ,, 57, 1,15/8/2017 8:50:20 PM
21 + 70 = ,, 91, 1,15/8/2017 8:50:20 PM
93 + 15 = ,, 108, 1,15/8/2017 8:50:20 PM
58 + 86 = ,, 144, 1,15/8/2017 8:50:20 PM
54 + 36 = ,, 90, 1,15/8/2017 8:50:20 PM
23 + 39 = ,, 62, 1,15/8/2017 8:50:20 PM
77 - 11 = ,, 66, 1,15/8/2017 8:50:20 PM
14 + 96 = ,, 110, 1,15/8/2017 8:50:20 PM
61 + 24 = ,, 85, 1,15/8/2017 8:50:20 PM
41 + 31 = ,, 72, 1,15/8/2017 8:50:20 PM
