Question,Your_Answer,Correct_Answer,Round,TimeStamp
38 + 80 = ,113, 118, 1,16/8/2017 4:23:37 PM
54 + 32 = ,88, 86, 2,16/8/2017 4:29:12 PM
59 + 76 = ,145, 135, 2,16/8/2017 4:29:12 PM
51 + 50 = ,61, 101, 5,16/8/2017 4:39:17 PM
59 + 39 = ,198, 98, 6,16/8/2017 4:43:42 PM
49 + 28 = ,178, 77, 6,16/8/2017 4:43:42 PM
37 + 69 = ,, 106, 7,16/8/2017 4:48:04 PM
39 + 93 = ,, 132, 7,16/8/2017 4:48:04 PM
71 + 42 = ,, 113, 7,16/8/2017 4:48:04 PM
34 + 40 = ,, 74, 7,16/8/2017 4:48:04 PM
97 + 30 = ,, 127, 7,16/8/2017 4:48:04 PM
73 + 99 = ,, 172, 7,16/8/2017 4:48:04 PM
52 + 31 = ,, 83, 7,16/8/2017 4:48:04 PM
71 + 83 = ,, 154, 7,16/8/2017 4:48:04 PM
61 + 77 = ,, 138, 7,16/8/2017 4:48:04 PM
59 + 61 = ,, 120, 7,16/8/2017 4:48:04 PM
73 + 57 = ,140, 130, 1,16/8/2017 4:54:28 PM
76 + 99 = ,176, 175, 3,16/8/2017 5:02:42 PM
87 + 19 = ,96, 106, 3,16/8/2017 5:02:42 PM
68 + 69 = ,177, 137, 5,16/8/2017 5:11:37 PM
79 + 91 = ,190, 170, 5,16/8/2017 5:11:37 PM
59 + 97 = ,146, 156, 5,16/8/2017 5:11:37 PM
84 + 96 = ,190, 180, 5,16/8/2017 5:11:37 PM
94 + 59 = ,154, 153, 6,16/8/2017 5:21:57 PM
63 + 67 = ,70, 130, 7,16/8/2017 5:27:07 PM
89 + 45 = ,124, 134, 8,16/8/2017 5:30:26 PM
95 - 26 = ,61, 69, 9,16/8/2017 5:34:09 PM
53 + 17 = ,36, 70, 11,16/8/2017 5:47:32 PM
31 + 46 = ,, 77, 11,16/8/2017 5:47:32 PM
46 + 65 = ,, 111, 11,16/8/2017 5:47:32 PM
80 + 22 = ,, 102, 11,16/8/2017 5:47:32 PM
74 + 99 = ,, 173, 11,16/8/2017 5:47:32 PM
85 + 17 = ,112, 102, 12,16/8/2017 5:51:36 PM
18 + 83 = ,111, 101, 12,16/8/2017 5:51:36 PM
89 + 32 = ,12, 121, 12,16/8/2017 5:51:36 PM
19 + 43 = ,, 62, 12,16/8/2017 5:51:36 PM
64 + 81 = ,, 145, 12,16/8/2017 5:51:36 PM
12 + 80 = ,, 92, 12,16/8/2017 5:51:36 PM
17 + 89 = ,116, 106, 13,16/8/2017 5:57:47 PM
59 + 41 = ,118, 100, 13,16/8/2017 5:57:47 PM
87 + 15 = ,112, 102, 14,16/8/2017 6:02:38 PM
52 + 48 = ,109, 100, 14,16/8/2017 6:02:38 PM
16 + 87 = ,113, 103, 14,16/8/2017 6:02:38 PM
81 + 78 = ,169, 159, 14,16/8/2017 6:02:38 PM
84 + 58 = ,152, 142, 14,16/8/2017 6:02:38 PM
97 + 97 = ,187, 194, 15,16/8/2017 6:55:30 PM
85 + 27 = ,1, 112, 1,16/8/2017 7:03:38 PM
73 + 33 = ,, 106, 1,16/8/2017 7:03:38 PM
68 + 99 = ,, 167, 1,16/8/2017 7:03:38 PM
99 + 12 = ,113, 111, 8,16/8/2017 7:32:04 PM
93 + 26 = ,110, 119, 9,16/8/2017 7:34:37 PM
