Question,Your_Answer,Correct_Answer,Round,TimeStamp
9 ? 5 = ,85, 45, 1,30/8/2017 6:18:37 PM
9 ? 7 = ,56, 63, 1,30/8/2017 6:18:37 PM
7 ? 7 = ,70, 49, 1,30/8/2017 6:18:37 PM
3 ? 9 = ,26, 27, 2,30/8/2017 6:42:17 PM
406 + 465 = ,811, 871, 2,30/8/2017 6:42:17 PM
54 ? 6 = ,5, 9, 3,30/8/2017 7:16:15 PM
9 ? 4 = ,68, 36, 3,30/8/2017 7:16:15 PM
32 ? 8 = ,5, 4, 4,30/8/2017 7:27:33 PM
9 ? 6 = ,21, 54, 4,30/8/2017 7:27:33 PM
9 ? 7 = ,51, 63, 5,30/8/2017 7:40:57 PM
3 ? 8 = ,20, 24, 5,30/8/2017 7:40:57 PM
54 ? 9 = ,7, 6, 5,30/8/2017 7:40:57 PM
5 ? 7 = ,55, 35, 5,30/8/2017 7:40:57 PM
530 - 323 = ,227, 207, 6,30/8/2017 7:55:05 PM
7 ? 6 = ,36, 42, 6,30/8/2017 7:55:05 PM
870 - 342 = ,526, 528, 6,30/8/2017 7:55:05 PM
436 - 306 = ,136, 130, 7,30/8/2017 8:05:00 PM
5 ? 6 = ,28, 30, 7,30/8/2017 8:05:00 PM
54 ? 6 = ,8, 9, 7,30/8/2017 8:05:00 PM
15 ? 3 = ,4, 5, 8,30/8/2017 8:15:11 PM
8 ? 6 = ,36, 48, 8,30/8/2017 8:15:11 PM
4 ? 3 = ,11, 12, 9,30/8/2017 8:27:10 PM
5 ? 5 = ,45, 25, 9,30/8/2017 8:27:10 PM
72 ? 9 = ,6, 8, 9,30/8/2017 8:27:10 PM
9 ? 8 = ,73, 72, 9,30/8/2017 8:27:10 PM
54 ? 9 = ,5, 6, 9,30/8/2017 8:27:10 PM
