Question,Your_Answer,Round,TimeStamp
4 ? 7 = ,28, 1,30/8/2017 6:18:37 PM
296 - 187 = ,109, 1,30/8/2017 6:18:37 PM
2 ? 7 = ,14, 1,30/8/2017 6:18:37 PM
18 ? 6 = ,3, 1,30/8/2017 6:18:37 PM
16 ? 4 = ,4, 1,30/8/2017 6:18:37 PM
117 + 449 = ,566, 1,30/8/2017 6:18:37 PM
4 ? 1 = ,4, 1,30/8/2017 6:18:37 PM
479 + 413 = ,892, 1,30/8/2017 6:18:37 PM
3 ? 4 = ,12, 1,30/8/2017 6:18:37 PM
513 + 345 = ,858, 1,30/8/2017 6:18:37 PM
2 ? 8 = ,16, 1,30/8/2017 6:18:37 PM
5 ? 2 = ,10, 1,30/8/2017 6:18:37 PM
2 ? 3 = ,6, 1,30/8/2017 6:18:37 PM
507 - 238 = ,269, 1,30/8/2017 6:18:37 PM
3 ? 1 = ,3, 1,30/8/2017 6:18:37 PM
4 ? 4 = ,16, 1,30/8/2017 6:18:37 PM
511 + 247 = ,758, 1,30/8/2017 6:18:37 PM
12 ? 6 = ,2, 2,30/8/2017 6:42:17 PM
2 ? 7 = ,14, 2,30/8/2017 6:42:17 PM
18 ? 6 = ,3, 2,30/8/2017 6:42:17 PM
121 + 296 = ,417, 2,30/8/2017 6:42:17 PM
7 ? 1 = ,7, 2,30/8/2017 6:42:17 PM
6 ? 5 = ,30, 2,30/8/2017 6:42:17 PM
342 + 565 = ,907, 2,30/8/2017 6:42:17 PM
759 - 213 = ,546, 2,30/8/2017 6:42:17 PM
2 ? 1 = ,2, 2,30/8/2017 6:42:17 PM
5 ? 1 = ,5, 2,30/8/2017 6:42:17 PM
7 ? 1 = ,7, 2,30/8/2017 6:42:17 PM
6 ? 2 = ,3, 2,30/8/2017 6:42:17 PM
36 ? 6 = ,6, 2,30/8/2017 6:42:17 PM
379 - 228 = ,151, 2,30/8/2017 6:42:17 PM
63 ? 9 = ,7, 2,30/8/2017 6:42:17 PM
578 + 316 = ,894, 2,30/8/2017 6:42:17 PM
9 ? 6 = ,54, 2,30/8/2017 6:42:17 PM
205 + 286 = ,491, 2,30/8/2017 6:42:17 PM
45 ? 5 = ,9, 3,30/8/2017 7:16:15 PM
1 ? 9 = ,9, 3,30/8/2017 7:16:15 PM
174 + 718 = ,892, 3,30/8/2017 7:16:15 PM
45 ? 5 = ,9, 3,30/8/2017 7:16:15 PM
850 - 605 = ,245, 3,30/8/2017 7:16:15 PM
1 ? 7 = ,7, 3,30/8/2017 7:16:15 PM
512 + 354 = ,866, 3,30/8/2017 7:16:15 PM
471 - 286 = ,185, 3,30/8/2017 7:16:15 PM
783 - 245 = ,538, 3,30/8/2017 7:16:15 PM
9 ? 6 = ,54, 3,30/8/2017 7:16:15 PM
601 - 330 = ,271, 3,30/8/2017 7:16:15 PM
406 - 232 = ,174, 3,30/8/2017 7:16:15 PM
1 ? 5 = ,5, 3,30/8/2017 7:16:15 PM
4 ? 3 = ,12, 3,30/8/2017 7:16:15 PM
16 ? 8 = ,2, 3,30/8/2017 7:16:15 PM
8 ? 9 = ,72, 3,30/8/2017 7:16:15 PM
20 ? 5 = ,4, 3,30/8/2017 7:16:15 PM
2 ? 2 = ,4, 3,30/8/2017 7:16:15 PM
770 - 374 = ,396, 4,30/8/2017 7:27:33 PM
875 - 614 = ,261, 4,30/8/2017 7:27:33 PM
4 ? 3 = ,12, 4,30/8/2017 7:27:33 PM
422 - 183 = ,239, 4,30/8/2017 7:27:33 PM
809 - 154 = ,655, 4,30/8/2017 7:27:33 PM
103 + 769 = ,872, 4,30/8/2017 7:27:33 PM
679 - 143 = ,536, 4,30/8/2017 7:27:33 PM
794 - 622 = ,172, 4,30/8/2017 7:27:33 PM
27 ? 3 = ,9, 4,30/8/2017 7:27:33 PM
551 - 111 = ,440, 4,30/8/2017 7:27:33 PM
8 ? 3 = ,24, 4,30/8/2017 7:27:33 PM
7 ? 2 = ,14, 4,30/8/2017 7:27:33 PM
5 ? 2 = ,10, 4,30/8/2017 7:27:33 PM
2 ? 3 = ,6, 4,30/8/2017 7:27:33 PM
4 ? 8 = ,32, 4,30/8/2017 7:27:33 PM
607 + 391 = ,998, 4,30/8/2017 7:27:33 PM
101 + 203 = ,304, 4,30/8/2017 7:27:33 PM
30 ? 6 = ,5, 4,30/8/2017 7:27:33 PM
720 + 221 = ,941, 5,30/8/2017 7:40:57 PM
49 ? 7 = ,7, 5,30/8/2017 7:40:57 PM
18 ? 6 = ,3, 5,30/8/2017 7:40:57 PM
128 + 790 = ,918, 5,30/8/2017 7:40:57 PM
16 ? 8 = ,2, 5,30/8/2017 7:40:57 PM
636 - 302 = ,334, 5,30/8/2017 7:40:57 PM
754 - 137 = ,617, 5,30/8/2017 7:40:57 PM
565 + 244 = ,809, 5,30/8/2017 7:40:57 PM
40 ? 8 = ,5, 5,30/8/2017 7:40:57 PM
63 ? 9 = ,7, 5,30/8/2017 7:40:57 PM
741 - 414 = ,327, 5,30/8/2017 7:40:57 PM
851 - 581 = ,270, 5,30/8/2017 7:40:57 PM
4 ? 1 = ,4, 5,30/8/2017 7:40:57 PM
12 ? 3 = ,4, 5,30/8/2017 7:40:57 PM
736 + 165 = ,901, 5,30/8/2017 7:40:57 PM
108 + 621 = ,729, 5,30/8/2017 7:40:57 PM
42 ? 6 = ,7, 6,30/8/2017 7:55:05 PM
700 - 559 = ,141, 6,30/8/2017 7:55:05 PM
6 ? 2 = ,3, 6,30/8/2017 7:55:05 PM
54 ? 6 = ,9, 6,30/8/2017 7:55:05 PM
635 - 242 = ,393, 6,30/8/2017 7:55:05 PM
8 ? 8 = ,1, 6,30/8/2017 7:55:05 PM
3 ? 3 = ,1, 6,30/8/2017 7:55:05 PM
517 + 114 = ,631, 6,30/8/2017 7:55:05 PM
793 - 486 = ,307, 6,30/8/2017 7:55:05 PM
54 ? 9 = ,6, 6,30/8/2017 7:55:05 PM
782 - 626 = ,156, 6,30/8/2017 7:55:05 PM
16 ? 4 = ,4, 6,30/8/2017 7:55:05 PM
2 ? 2 = ,4, 6,30/8/2017 7:55:05 PM
355 + 614 = ,969, 6,30/8/2017 7:55:05 PM
214 + 382 = ,596, 6,30/8/2017 7:55:05 PM
658 + 135 = ,793, 6,30/8/2017 7:55:05 PM
2 ? 1 = ,2, 6,30/8/2017 7:55:05 PM
423 + 151 = ,574, 7,30/8/2017 8:05:00 PM
8 ? 1 = ,8, 7,30/8/2017 8:05:00 PM
36 ? 9 = ,4, 7,30/8/2017 8:05:00 PM
594 - 296 = ,298, 7,30/8/2017 8:05:00 PM
5 ? 2 = ,10, 7,30/8/2017 8:05:00 PM
257 - 152 = ,105, 7,30/8/2017 8:05:00 PM
4 ? 1 = ,4, 7,30/8/2017 8:05:00 PM
27 ? 9 = ,3, 7,30/8/2017 8:05:00 PM
559 + 429 = ,988, 7,30/8/2017 8:05:00 PM
600 - 117 = ,483, 7,30/8/2017 8:05:00 PM
15 ? 5 = ,3, 7,30/8/2017 8:05:00 PM
2 ? 2 = ,1, 7,30/8/2017 8:05:00 PM
12 ? 2 = ,6, 7,30/8/2017 8:05:00 PM
8 ? 8 = ,1, 7,30/8/2017 8:05:00 PM
42 ? 6 = ,7, 7,30/8/2017 8:05:00 PM
9 ? 3 = ,3, 7,30/8/2017 8:05:00 PM
3 ? 5 = ,15, 7,30/8/2017 8:05:00 PM
16 ? 8 = ,2, 8,30/8/2017 8:15:11 PM
6 ? 3 = ,2, 8,30/8/2017 8:15:11 PM
18 ? 3 = ,6, 8,30/8/2017 8:15:11 PM
