Question,Your_Answer,Round,TimeStamp
166 + 324 = ,490, 1,27/8/2017 7:25:16 PM
332 + 281 = ,613, 1,27/8/2017 7:25:16 PM
449 + 459 = ,908, 1,27/8/2017 7:25:16 PM
404 + 457 = ,861, 1,27/8/2017 7:25:16 PM
286 + 623 = ,909, 1,27/8/2017 7:25:16 PM
292 + 177 = ,469, 1,27/8/2017 7:25:16 PM
569 + 348 = ,917, 1,27/8/2017 7:25:16 PM
791 - 271 = ,520, 1,27/8/2017 7:25:16 PM
214 + 608 = ,822, 1,27/8/2017 7:25:16 PM
504 + 235 = ,739, 1,27/8/2017 7:25:16 PM
497 + 135 = ,632, 1,27/8/2017 7:25:16 PM
406 - 154 = ,252, 1,27/8/2017 7:25:16 PM
421 + 537 = ,958, 1,27/8/2017 7:25:16 PM
605 - 305 = ,300, 1,27/8/2017 7:25:16 PM
513 + 381 = ,894, 1,27/8/2017 7:25:16 PM
740 - 185 = ,555, 2,27/8/2017 7:35:41 PM
334 + 437 = ,771, 2,27/8/2017 7:35:41 PM
374 - 106 = ,268, 2,27/8/2017 7:35:41 PM
673 - 106 = ,567, 2,27/8/2017 7:35:41 PM
277 + 521 = ,798, 2,27/8/2017 7:35:41 PM
898 - 511 = ,387, 2,27/8/2017 7:35:41 PM
725 - 350 = ,375, 2,27/8/2017 7:35:41 PM
237 + 366 = ,603, 2,27/8/2017 7:35:41 PM
288 + 233 = ,521, 2,27/8/2017 7:35:41 PM
493 - 257 = ,236, 2,27/8/2017 7:35:41 PM
528 + 208 = ,736, 2,27/8/2017 7:35:41 PM
413 + 397 = ,810, 2,27/8/2017 7:35:41 PM
432 - 171 = ,261, 2,27/8/2017 7:35:41 PM
360 + 147 = ,507, 2,27/8/2017 7:35:41 PM
439 + 213 = ,652, 2,27/8/2017 7:35:41 PM
230 + 219 = ,449, 2,27/8/2017 7:35:41 PM
843 - 292 = ,551, 2,27/8/2017 7:35:41 PM
368 + 365 = ,733, 2,27/8/2017 7:35:41 PM
643 + 190 = ,833, 3,27/8/2017 7:45:00 PM
203 + 655 = ,858, 3,27/8/2017 7:45:00 PM
618 + 239 = ,857, 3,27/8/2017 7:45:00 PM
421 + 468 = ,889, 3,27/8/2017 7:45:00 PM
842 - 573 = ,269, 3,27/8/2017 7:45:00 PM
349 + 363 = ,712, 3,27/8/2017 7:45:00 PM
428 - 195 = ,233, 3,27/8/2017 7:45:00 PM
839 - 128 = ,711, 3,27/8/2017 7:45:00 PM
745 - 220 = ,525, 3,27/8/2017 7:45:00 PM
561 - 146 = ,415, 3,27/8/2017 7:45:00 PM
800 - 647 = ,153, 3,27/8/2017 7:45:00 PM
587 + 380 = ,967, 3,27/8/2017 7:45:00 PM
749 - 122 = ,627, 3,27/8/2017 7:45:00 PM
630 - 437 = ,193, 3,27/8/2017 7:45:00 PM
398 + 326 = ,724, 3,27/8/2017 7:45:00 PM
135 + 318 = ,453, 3,27/8/2017 7:45:00 PM
509 - 398 = ,111, 3,27/8/2017 7:45:00 PM
794 - 114 = ,680, 3,27/8/2017 7:45:00 PM
488 - 267 = ,221, 3,27/8/2017 7:45:00 PM
126 + 609 = ,735, 4,27/8/2017 7:51:59 PM
649 - 272 = ,377, 4,27/8/2017 7:51:59 PM
629 - 444 = ,185, 4,27/8/2017 7:51:59 PM
200 + 214 = ,414, 4,27/8/2017 7:51:59 PM
763 + 139 = ,902, 4,27/8/2017 7:51:59 PM
249 + 701 = ,950, 4,27/8/2017 7:51:59 PM
332 + 355 = ,687, 4,27/8/2017 7:51:59 PM
657 - 321 = ,336, 4,27/8/2017 7:51:59 PM
354 + 105 = ,459, 4,27/8/2017 7:51:59 PM
156 + 718 = ,874, 4,27/8/2017 7:51:59 PM
109 + 193 = ,302, 4,27/8/2017 7:51:59 PM
332 + 534 = ,866, 4,27/8/2017 7:51:59 PM
349 + 134 = ,483, 4,27/8/2017 7:51:59 PM
858 + 108 = ,966, 4,27/8/2017 7:51:59 PM
684 - 182 = ,502, 4,27/8/2017 7:51:59 PM
588 + 182 = ,770, 4,27/8/2017 7:51:59 PM
518 + 332 = ,850, 4,27/8/2017 7:51:59 PM
512 + 156 = ,668, 4,27/8/2017 7:51:59 PM
795 - 421 = ,374, 4,27/8/2017 7:51:59 PM
825 - 721 = ,104, 5,27/8/2017 7:59:42 PM
469 - 309 = ,160, 5,27/8/2017 7:59:42 PM
158 + 288 = ,446, 5,27/8/2017 7:59:42 PM
705 + 213 = ,918, 5,27/8/2017 7:59:42 PM
189 + 347 = ,536, 5,27/8/2017 7:59:42 PM
811 - 538 = ,273, 5,27/8/2017 7:59:42 PM
321 + 588 = ,909, 5,27/8/2017 7:59:42 PM
393 - 268 = ,125, 5,27/8/2017 7:59:42 PM
798 - 458 = ,340, 5,27/8/2017 7:59:42 PM
235 - 103 = ,132, 5,27/8/2017 7:59:42 PM
210 + 298 = ,508, 5,27/8/2017 7:59:42 PM
664 - 463 = ,201, 5,27/8/2017 7:59:42 PM
114 + 832 = ,946, 5,27/8/2017 7:59:42 PM
547 - 123 = ,424, 5,27/8/2017 7:59:42 PM
177 + 383 = ,560, 5,27/8/2017 7:59:42 PM
163 + 560 = ,723, 5,27/8/2017 7:59:42 PM
572 + 191 = ,763, 5,27/8/2017 7:59:42 PM
834 - 610 = ,224, 5,27/8/2017 7:59:42 PM
613 - 127 = ,486, 5,27/8/2017 7:59:42 PM
189 + 295 = ,484, 5,27/8/2017 7:59:42 PM
501 + 283 = ,784, 6,27/8/2017 8:11:39 PM
644 + 102 = ,746, 6,27/8/2017 8:11:39 PM
246 + 325 = ,571, 6,27/8/2017 8:11:39 PM
313 + 478 = ,791, 6,27/8/2017 8:11:39 PM
726 - 535 = ,191, 6,27/8/2017 8:11:39 PM
152 + 134 = ,286, 6,27/8/2017 8:11:39 PM
132 + 364 = ,496, 6,27/8/2017 8:11:39 PM
369 - 258 = ,111, 6,27/8/2017 8:11:39 PM
862 - 376 = ,486, 6,27/8/2017 8:11:39 PM
201 + 223 = ,424, 6,27/8/2017 8:11:39 PM
880 - 733 = ,147, 6,27/8/2017 8:11:39 PM
692 - 314 = ,378, 6,27/8/2017 8:11:39 PM
259 + 382 = ,641, 6,27/8/2017 8:11:39 PM
450 + 163 = ,613, 6,27/8/2017 8:11:39 PM
