Question,Your_Answer,Round,TimeStamp
77 + 82 = ,159, 1,24/8/2017 6:47:15 PM
66 + 57 = ,123, 1,24/8/2017 6:47:15 PM
143 - 65 = ,78, 1,24/8/2017 6:47:15 PM
148 - 78 = ,70, 1,24/8/2017 6:47:15 PM
64 + 57 = ,121, 1,24/8/2017 6:47:15 PM
62 + 70 = ,132, 1,24/8/2017 6:47:15 PM
110 + 51 = ,161, 1,24/8/2017 6:47:15 PM
81 + 92 = ,173, 1,24/8/2017 6:47:15 PM
65 + 126 = ,191, 1,24/8/2017 6:47:15 PM
53 + 129 = ,182, 1,24/8/2017 6:47:15 PM
64 + 64 = ,128, 1,24/8/2017 6:47:15 PM
135 + 53 = ,188, 1,24/8/2017 6:47:15 PM
80 + 85 = ,165, 1,24/8/2017 6:47:15 PM
145 - 62 = ,83, 1,24/8/2017 6:47:15 PM
67 + 51 = ,118, 1,24/8/2017 6:47:15 PM
106 + 51 = ,157, 1,24/8/2017 6:47:15 PM
85 + 108 = ,193, 1,24/8/2017 6:47:15 PM
88 + 86 = ,174, 1,24/8/2017 6:47:15 PM
116 + 66 = ,182, 1,24/8/2017 6:47:15 PM
59 + 126 = ,185, 1,24/8/2017 6:47:15 PM
84 + 51 = ,135, 2,24/8/2017 6:49:56 PM
51 + 65 = ,116, 2,24/8/2017 6:49:56 PM
59 + 76 = ,135, 2,24/8/2017 6:49:56 PM
71 + 103 = ,174, 2,24/8/2017 6:49:56 PM
107 + 79 = ,186, 2,24/8/2017 6:49:56 PM
97 + 53 = ,150, 2,24/8/2017 6:49:56 PM
54 + 80 = ,134, 2,24/8/2017 6:49:56 PM
73 + 101 = ,174, 2,24/8/2017 6:49:56 PM
95 + 101 = ,196, 2,24/8/2017 6:49:56 PM
133 - 57 = ,76, 2,24/8/2017 6:49:56 PM
101 + 53 = ,154, 2,24/8/2017 6:49:56 PM
72 + 81 = ,153, 2,24/8/2017 6:49:56 PM
147 - 67 = ,80, 2,24/8/2017 6:49:56 PM
66 + 115 = ,181, 2,24/8/2017 6:49:56 PM
