Question,Your_Answer,Correct_Answer,Round,TimeStamp
27 + 18 = ,43, 45, 5,21/8/2017 4:17:04 PM
58 - 18 = ,, 40, 13,21/8/2017 4:47:31 PM
22 + 12 = ,, 34, 13,21/8/2017 4:47:31 PM
17 + 49 = ,, 66, 13,21/8/2017 4:47:31 PM
98 - 53 = ,, 45, 13,21/8/2017 4:47:31 PM
35 + 31 = ,, 66, 13,21/8/2017 4:47:31 PM
49 - 16 = ,, 33, 13,21/8/2017 4:47:31 PM
84 - 51 = ,, 33, 13,21/8/2017 4:47:31 PM
37 + 56 = ,, 93, 13,21/8/2017 4:47:31 PM
45 + 19 = ,, 64, 13,21/8/2017 4:47:31 PM
29 - 20 = ,, 9, 13,21/8/2017 4:47:31 PM
73 - 56 = ,, 17, 13,21/8/2017 4:47:31 PM
94 - 36 = ,, 58, 13,21/8/2017 4:47:31 PM
54 - 28 = ,, 26, 13,21/8/2017 4:47:31 PM
17 + 57 = ,, 74, 13,21/8/2017 4:47:31 PM
98 - 16 = ,, 82, 13,21/8/2017 4:47:31 PM
80 - 19 = ,, 61, 13,21/8/2017 4:47:31 PM
13 + 56 = ,, 69, 13,21/8/2017 4:47:31 PM
42 + 37 = ,, 79, 13,21/8/2017 4:47:31 PM
95 - 44 = ,, 51, 13,21/8/2017 4:47:31 PM
33 + 39 = ,, 72, 13,21/8/2017 4:47:31 PM
