Question,Your_Answer,Correct_Answer,Round,TimeStamp
84 - 47 = ,33, 37, 3,22/8/2017 4:13:49 PM
293 - 191 = ,008, 102, 8,22/8/2017 4:42:29 PM
321 - 123 = ,178, 198, 8,22/8/2017 4:42:29 PM
195 + 211 = ,306, 406, 8,22/8/2017 4:42:29 PM
142 + 249 = ,501, 391, 8,22/8/2017 4:42:29 PM
93 + 329 = ,404, 422, 8,22/8/2017 4:42:29 PM
96 + 166 = ,202, 262, 9,22/8/2017 4:49:24 PM
99 + 93 = ,203, 192, 9,22/8/2017 4:49:24 PM
242 - 151 = ,099, 91, 9,22/8/2017 4:49:24 PM
293 - 177 = ,076, 116, 9,22/8/2017 4:49:24 PM
345 - 291 = ,046, 54, 9,22/8/2017 4:49:24 PM
300 - 198 = ,202, 102, 9,22/8/2017 4:49:24 PM
212 + 128 = ,440, 340, 10,22/8/2017 4:57:10 PM
294 - 187 = ,007, 107, 10,22/8/2017 4:57:10 PM
304 - 243 = ,057, 61, 10,22/8/2017 4:57:10 PM
372 - 86 = ,296, 286, 11,22/8/2017 5:09:07 PM
368 - 285 = ,183, 83, 11,22/8/2017 5:09:07 PM
268 - 80 = ,088, 188, 11,22/8/2017 5:09:07 PM
197 + 261 = ,358, 458, 12,22/8/2017 5:23:03 PM
356 - 257 = ,109, 99, 12,22/8/2017 5:23:03 PM
89 + 337 = ,156, 426, 12,22/8/2017 5:23:03 PM
283 - 185 = ,108, 98, 13,22/8/2017 5:30:27 PM
178 + 196 = ,364, 374, 13,22/8/2017 5:30:27 PM
234 + 209 = ,453, 443, 13,22/8/2017 5:30:27 PM
396 - 298 = ,188, 98, 14,22/8/2017 5:43:27 PM
156 + 299 = ,445, 455, 14,22/8/2017 5:43:27 PM
209 + 228 = ,457, 437, 15,22/8/2017 5:57:16 PM
307 - 217 = ,190, 90, 15,22/8/2017 5:57:16 PM
309 - 290 = ,119, 19, 15,22/8/2017 5:57:16 PM
231 - 83 = ,138, 148, 15,22/8/2017 5:57:16 PM
334 - 144 = ,290, 190, 15,22/8/2017 5:57:16 PM
243 - 164 = ,169, 79, 15,22/8/2017 5:57:16 PM
229 + 193 = ,404, 422, 15,22/8/2017 5:57:16 PM
168 + 149 = ,227, 317, 16,22/8/2017 6:06:17 PM
308 - 137 = ,271, 171, 16,22/8/2017 6:06:17 PM
342 - 123 = ,229, 219, 17,22/8/2017 6:21:35 PM
341 - 162 = ,279, 179, 17,22/8/2017 6:21:35 PM
325 - 281 = ,144, 44, 17,22/8/2017 6:21:35 PM
244 - 189 = ,165, 55, 17,22/8/2017 6:21:35 PM
99 - 72 = ,, 27, 1,22/8/2017 7:16:41 PM
83 - 73 = ,, 10, 1,22/8/2017 7:41:02 PM
55 + 34 = ,, 89, 1,22/8/2017 7:41:02 PM
93 - 61 = ,, 32, 1,22/8/2017 7:41:02 PM
27 - 25 = ,, 2, 1,22/8/2017 7:41:02 PM
70 - 15 = ,, 55, 1,22/8/2017 7:41:02 PM
61 + 20 = ,, 81, 1,22/8/2017 7:41:02 PM
39 + 18 = ,, 57, 1,22/8/2017 7:41:02 PM
17 + 50 = ,, 67, 1,22/8/2017 7:41:02 PM
19 + 28 = ,, 47, 1,22/8/2017 7:41:02 PM
72 - 38 = ,, 34, 1,22/8/2017 7:41:02 PM
46 + 12 = ,, 58, 1,22/8/2017 7:41:02 PM
52 + 15 = ,, 67, 1,22/8/2017 7:41:02 PM
94 - 46 = ,, 48, 1,22/8/2017 7:41:02 PM
34 - 17 = ,, 17, 1,22/8/2017 7:41:02 PM
26 + 20 = ,, 46, 1,22/8/2017 7:41:02 PM
98 - 81 = ,, 17, 1,22/8/2017 7:41:02 PM
32 + 32 = ,, 64, 1,22/8/2017 7:41:02 PM
52 + 27 = ,, 79, 1,22/8/2017 7:41:02 PM
60 - 20 = ,, 40, 1,22/8/2017 7:41:02 PM
14 + 22 = ,, 36, 1,22/8/2017 7:41:02 PM
104 + 216 = ,310, 320, 2,22/8/2017 7:47:00 PM
138 + 176 = ,214, 314, 2,22/8/2017 7:47:00 PM
94 + 241 = ,155, 335, 3,22/8/2017 7:56:45 PM
155 - 98 = ,67, 57, 3,22/8/2017 7:56:45 PM
174 + 248 = ,412, 422, 3,22/8/2017 7:56:45 PM
364 - 285 = ,89, 79, 4,22/8/2017 8:06:07 PM
180 - 126 = ,56, 54, 6,22/8/2017 8:18:11 PM
279 + 129 = ,404, 408, 6,22/8/2017 8:18:11 PM
165 + 379 = ,534, 544, 6,22/8/2017 8:18:11 PM
95 - 76 = ,, 19, 1,22/8/2017 8:41:24 PM
92 - 60 = ,, 32, 1,22/8/2017 8:41:24 PM
52 - 49 = ,, 3, 1,22/8/2017 8:41:24 PM
99 - 65 = ,, 34, 1,22/8/2017 8:41:24 PM
81 - 30 = ,, 51, 1,22/8/2017 8:41:24 PM
99 - 39 = ,, 60, 1,22/8/2017 8:41:24 PM
70 + 20 = ,, 90, 1,22/8/2017 8:41:24 PM
79 - 32 = ,, 47, 1,22/8/2017 8:41:24 PM
53 + 34 = ,, 87, 1,22/8/2017 8:41:24 PM
91 - 50 = ,, 41, 1,22/8/2017 8:41:24 PM
90 - 30 = ,, 60, 1,22/8/2017 8:41:24 PM
50 + 40 = ,, 90, 1,22/8/2017 8:41:24 PM
32 + 31 = ,, 63, 1,22/8/2017 8:41:24 PM
70 - 11 = ,, 59, 1,22/8/2017 8:41:24 PM
83 - 35 = ,, 48, 1,22/8/2017 8:41:24 PM
81 - 42 = ,, 39, 1,22/8/2017 8:41:24 PM
95 - 15 = ,, 80, 1,22/8/2017 8:41:24 PM
66 - 55 = ,, 11, 1,22/8/2017 8:41:24 PM
14 + 12 = ,, 26, 1,22/8/2017 8:41:24 PM
70 + 12 = ,, 82, 1,22/8/2017 8:45:55 PM
51 - 26 = ,, 25, 1,22/8/2017 8:45:55 PM
52 + 16 = ,, 68, 1,22/8/2017 8:45:55 PM
63 - 53 = ,, 10, 1,22/8/2017 8:45:55 PM
21 + 71 = ,, 92, 1,22/8/2017 8:45:55 PM
33 + 43 = ,, 76, 1,22/8/2017 8:45:55 PM
24 + 29 = ,, 53, 1,22/8/2017 8:45:55 PM
88 - 33 = ,, 55, 1,22/8/2017 8:45:55 PM
86 - 41 = ,, 45, 1,22/8/2017 8:45:55 PM
52 + 22 = ,, 74, 1,22/8/2017 8:45:55 PM
65 - 36 = ,, 29, 1,22/8/2017 8:45:55 PM
14 + 17 = ,, 31, 1,22/8/2017 8:45:55 PM
24 - 13 = ,, 11, 1,22/8/2017 8:45:55 PM
86 - 69 = ,, 17, 1,22/8/2017 8:45:55 PM
14 + 80 = ,, 94, 1,22/8/2017 8:45:55 PM
90 - 15 = ,, 75, 1,22/8/2017 8:45:55 PM
43 + 33 = ,, 76, 1,22/8/2017 8:45:55 PM
17 - 11 = ,, 6, 1,22/8/2017 8:45:55 PM
21 - 18 = ,, 3, 1,22/8/2017 8:45:55 PM
25 + 68 = ,, 93, 1,22/8/2017 8:53:26 PM
55 - 39 = ,, 16, 1,22/8/2017 8:53:26 PM
95 - 71 = ,, 24, 1,22/8/2017 8:53:26 PM
51 - 19 = ,, 32, 1,22/8/2017 8:53:26 PM
87 - 82 = ,, 5, 1,22/8/2017 8:53:26 PM
30 - 16 = ,, 14, 1,22/8/2017 8:53:26 PM
24 + 58 = ,, 82, 1,22/8/2017 8:53:26 PM
48 - 39 = ,, 9, 1,22/8/2017 8:53:26 PM
68 - 22 = ,, 46, 1,22/8/2017 8:53:26 PM
31 - 26 = ,, 5, 1,22/8/2017 8:53:26 PM
54 - 16 = ,, 38, 1,22/8/2017 8:53:26 PM
39 - 31 = ,, 8, 1,22/8/2017 8:53:26 PM
30 + 48 = ,, 78, 1,22/8/2017 8:53:26 PM
92 - 82 = ,, 10, 1,22/8/2017 8:53:26 PM
43 + 46 = ,, 89, 1,22/8/2017 8:53:26 PM
63 + 21 = ,, 84, 1,22/8/2017 8:53:26 PM
80 - 27 = ,, 53, 1,22/8/2017 8:53:26 PM
64 + 18 = ,, 82, 1,22/8/2017 8:53:26 PM
