Question,Your_Answer,Round,TimeStamp
32 - 23 = ,09, 1,15/8/2017 4:00:18 PM
88 - 12 = ,76, 1,15/8/2017 4:00:18 PM
46 + 40 = ,86, 1,15/8/2017 4:00:18 PM
14 + 27 = ,41, 1,15/8/2017 4:00:18 PM
74 - 33 = ,41, 1,15/8/2017 4:00:18 PM
18 + 16 = ,34, 1,15/8/2017 4:00:18 PM
53 - 36 = ,17, 1,15/8/2017 4:00:18 PM
21 - 13 = ,08, 1,15/8/2017 4:00:18 PM
45 + 22 = ,67, 1,15/8/2017 4:00:18 PM
71 - 70 = ,01, 1,15/8/2017 4:00:18 PM
17 + 38 = ,55, 1,15/8/2017 4:00:18 PM
56 + 14 = ,70, 1,15/8/2017 4:00:18 PM
55 - 48 = ,07, 1,15/8/2017 4:00:18 PM
39 + 52 = ,91, 1,15/8/2017 4:00:18 PM
54 - 15 = ,39, 1,15/8/2017 4:00:18 PM
63 + 31 = ,94, 1,15/8/2017 4:00:18 PM
25 + 37 = ,62, 1,15/8/2017 4:00:18 PM
51 - 35 = ,16, 2,15/8/2017 4:03:16 PM
59 - 13 = ,46, 2,15/8/2017 4:03:16 PM
11 + 24 = ,35, 2,15/8/2017 4:03:16 PM
23 - 13 = ,10, 2,15/8/2017 4:03:16 PM
43 - 28 = ,15, 2,15/8/2017 4:03:16 PM
14 + 34 = ,48, 2,15/8/2017 4:03:16 PM
73 - 57 = ,16, 2,15/8/2017 4:03:16 PM
51 - 42 = ,09, 2,15/8/2017 4:03:16 PM
96 - 79 = ,17, 2,15/8/2017 4:03:16 PM
58 - 18 = ,40, 2,15/8/2017 4:03:16 PM
40 + 42 = ,82, 2,15/8/2017 4:03:16 PM
14 + 64 = ,78, 2,15/8/2017 4:03:16 PM
96 - 23 = ,73, 2,15/8/2017 4:03:16 PM
70 + 13 = ,83, 2,15/8/2017 4:03:16 PM
77 - 20 = ,57, 2,15/8/2017 4:03:16 PM
97 - 23 = ,74, 2,15/8/2017 4:03:16 PM
92 - 74 = ,18, 2,15/8/2017 4:03:16 PM
55 - 44 = ,11, 2,15/8/2017 4:03:16 PM
80 + 15 = ,95, 2,15/8/2017 4:03:16 PM
11 + 26 = ,37, 2,15/8/2017 4:03:16 PM
14 + 11 = ,25, 3,15/8/2017 4:07:22 PM
