Question,Your_Answer,Correct_Answer,Round,TimeStamp
82 + 39 = ,131, 121, 1,17/8/2017 6:55:49 PM
79 + 57 = ,156, 136, 1,17/8/2017 6:55:49 PM
93 - 39 = ,541, 54, 3,17/8/2017 7:05:36 PM
26 + 64 = ,190, 90, 10,17/8/2017 7:31:23 PM
55 + 47 = ,112, 102, 14,17/8/2017 7:47:13 PM
26 + 74 = ,109, 100, 14,17/8/2017 7:47:13 PM
65 + 88 = ,164, 153, 15,17/8/2017 7:51:53 PM
94 + 30 = ,173, 124, 21,17/8/2017 8:14:06 PM
46 + 75 = ,122, 121, 23,17/8/2017 8:22:29 PM
34 + 91 = ,124, 125, 25,17/8/2017 8:29:56 PM
78 + 66 = ,142, 144, 26,17/8/2017 8:33:13 PM
68 - 12 = ,76, 56, 28,17/8/2017 8:43:13 PM
83 + 94 = ,187, 177, 28,17/8/2017 8:43:13 PM
59 + 43 = ,112, 102, 29,17/8/2017 8:45:59 PM
67 + 55 = ,112, 122, 32,17/8/2017 8:57:38 PM
