Question,Your_Answer,Correct_Answer,Round,TimeStamp
655 - 406 = ,449, 249, 1,28/8/2017 3:19:15 PM
804 - 683 = ,111, 121, 2,28/8/2017 3:27:57 PM
241 + 535 = ,746, 776, 3,28/8/2017 3:36:19 PM
275 + 246 = ,421, 521, 3,28/8/2017 3:36:19 PM
515 - 156 = ,349, 359, 4,28/8/2017 4:02:16 PM
611 - 414 = ,196, 197, 5,28/8/2017 4:11:43 PM
573 - 345 = ,168, 228, 5,28/8/2017 4:11:43 PM
299 + 297 = ,496, 596, 6,28/8/2017 4:17:41 PM
258 + 693 = ,851, 951, 7,28/8/2017 4:26:30 PM
342 + 169 = ,411, 511, 8,28/8/2017 4:32:17 PM
844 - 358 = ,476, 486, 8,28/8/2017 4:32:17 PM
217 + 207 = ,224, 424, 9,28/8/2017 4:47:17 PM
387 + 208 = ,795, 595, 10,28/8/2017 4:56:21 PM
164 + 248 = ,421, 412, 11,28/8/2017 5:07:05 PM
668 + 170 = ,738, 838, 11,28/8/2017 5:07:05 PM
222 + 276 = ,798, 498, 15,28/8/2017 5:50:58 PM
500 - 129 = ,381, 371, 17,28/8/2017 6:06:18 PM
684 + 299 = ,883, 983, 17,28/8/2017 6:06:18 PM
416 + 538 = ,944, 954, 18,28/8/2017 6:12:27 PM
793 + 107 = ,800, 900, 18,28/8/2017 6:12:27 PM
641 - 299 = ,34, 342, 19,28/8/2017 7:17:38 PM
477 + 117 = ,694, 594, 19,28/8/2017 7:17:38 PM
620 - 293 = ,333, 327, 19,28/8/2017 7:17:38 PM
154 + 494 = ,548, 648, 20,28/8/2017 7:24:19 PM
279 + 675 = ,944, 954, 20,28/8/2017 7:24:19 PM
738 - 280 = ,532, 458, 20,28/8/2017 7:24:19 PM
133 + 247 = ,480, 380, 21,28/8/2017 7:35:50 PM
870 - 443 = ,437, 427, 21,28/8/2017 7:35:50 PM
504 + 378 = ,982, 882, 21,28/8/2017 7:35:50 PM
2 ? 4 = ,, 8, 1,28/8/2017 7:41:18 PM
7 ? 56 = ,, 0, 1,28/8/2017 7:41:18 PM
9 ? 7 = ,, 63, 1,28/8/2017 7:41:18 PM
