Question,Your_Answer,Correct_Answer,Round,TimeStamp
715 - 243 = ,572, 472, 2,29/8/2017 4:03:59 PM
642 - 357 = ,275, 285, 2,29/8/2017 4:03:59 PM
541 - 250 = ,209, 291, 3,29/8/2017 4:23:38 PM
466 - 291 = ,375, 175, 4,29/8/2017 5:07:51 PM
410 - 292 = ,218, 118, 5,29/8/2017 5:20:19 PM
516 - 258 = ,358, 258, 5,29/8/2017 5:20:19 PM
351 + 596 = ,945, 947, 6,29/8/2017 5:35:43 PM
493 + 248 = ,641, 741, 9,29/8/2017 5:57:13 PM
821 - 296 = ,625, 525, 10,29/8/2017 6:02:54 PM
9 ? 7 = ,80, 63, 1,29/8/2017 7:58:24 PM
9 ? 3 = ,36, 27, 1,29/8/2017 7:58:24 PM
63 ? 9 = ,6, 7, 1,29/8/2017 7:58:24 PM
9 ? 8 = ,94, 72, 1,29/8/2017 7:58:24 PM
732 - 580 = ,142, 152, 1,29/8/2017 7:58:24 PM
429 + 288 = ,617, 717, 2,29/8/2017 8:10:48 PM
347 - 153 = ,84, 194, 3,29/8/2017 8:23:36 PM
805 - 140 = ,765, 665, 3,29/8/2017 8:23:36 PM
42 ? 7 = ,4, 6, 3,29/8/2017 8:23:36 PM
7 ? 7 = ,83, 49, 3,29/8/2017 8:23:36 PM
54 ? 9 = ,5, 6, 3,29/8/2017 8:23:36 PM
48 ? 6 = ,7, 8, 4,29/8/2017 8:41:35 PM
8 ? 9 = ,64, 72, 4,29/8/2017 8:41:35 PM
