Question,Your_Answer,Round,TimeStamp
77 + 54 = ,131, 1,17/8/2017 6:55:49 PM
54 + 96 = ,150, 1,17/8/2017 6:55:49 PM
92 + 51 = ,143, 1,17/8/2017 6:55:49 PM
94 + 63 = ,157, 1,17/8/2017 6:55:49 PM
97 + 99 = ,196, 1,17/8/2017 6:55:49 PM
48 + 98 = ,146, 1,17/8/2017 6:55:49 PM
83 + 38 = ,121, 1,17/8/2017 6:55:49 PM
29 + 76 = ,105, 1,17/8/2017 6:55:49 PM
53 + 80 = ,133, 1,17/8/2017 6:55:49 PM
70 + 90 = ,160, 1,17/8/2017 6:55:49 PM
72 + 90 = ,162, 1,17/8/2017 6:55:49 PM
45 + 23 = ,68, 1,17/8/2017 6:55:49 PM
70 + 36 = ,106, 1,17/8/2017 6:55:49 PM
40 + 90 = ,130, 1,17/8/2017 6:55:49 PM
75 + 35 = ,110, 1,17/8/2017 6:55:49 PM
74 - 23 = ,51, 1,17/8/2017 6:55:49 PM
97 - 12 = ,85, 1,17/8/2017 6:55:49 PM
35 + 94 = ,129, 1,17/8/2017 6:55:49 PM
50 + 17 = ,67, 2,17/8/2017 7:02:36 PM
64 + 17 = ,81, 2,17/8/2017 7:02:36 PM
85 + 80 = ,165, 2,17/8/2017 7:02:36 PM
86 + 35 = ,121, 2,17/8/2017 7:02:36 PM
24 + 52 = ,76, 2,17/8/2017 7:02:36 PM
63 + 46 = ,109, 2,17/8/2017 7:02:36 PM
37 + 31 = ,68, 2,17/8/2017 7:02:36 PM
85 + 83 = ,168, 2,17/8/2017 7:02:36 PM
92 + 14 = ,106, 2,17/8/2017 7:02:36 PM
30 + 73 = ,103, 2,17/8/2017 7:02:36 PM
96 + 29 = ,125, 2,17/8/2017 7:02:36 PM
69 + 77 = ,146, 2,17/8/2017 7:02:36 PM
28 + 50 = ,78, 2,17/8/2017 7:02:36 PM
69 + 14 = ,83, 2,17/8/2017 7:02:36 PM
48 + 43 = ,91, 2,17/8/2017 7:02:36 PM
89 + 13 = ,102, 2,17/8/2017 7:02:36 PM
56 + 44 = ,100, 2,17/8/2017 7:02:36 PM
17 + 57 = ,74, 2,17/8/2017 7:02:36 PM
92 + 87 = ,179, 2,17/8/2017 7:02:36 PM
23 + 53 = ,76, 2,17/8/2017 7:02:36 PM
15 + 66 = ,81, 3,17/8/2017 7:05:36 PM
71 - 11 = ,60, 3,17/8/2017 7:05:36 PM
51 + 33 = ,84, 3,17/8/2017 7:05:36 PM
37 + 98 = ,135, 3,17/8/2017 7:05:36 PM
33 + 25 = ,58, 3,17/8/2017 7:05:36 PM
22 + 84 = ,106, 3,17/8/2017 7:05:36 PM
69 + 75 = ,144, 3,17/8/2017 7:05:36 PM
44 + 50 = ,94, 3,17/8/2017 7:05:36 PM
64 + 17 = ,81, 3,17/8/2017 7:05:36 PM
56 + 59 = ,115, 3,17/8/2017 7:05:36 PM
47 + 72 = ,119, 3,17/8/2017 7:05:36 PM
52 + 86 = ,138, 3,17/8/2017 7:05:36 PM
70 + 37 = ,107, 3,17/8/2017 7:05:36 PM
58 + 38 = ,96, 3,17/8/2017 7:05:36 PM
53 + 19 = ,72, 3,17/8/2017 7:05:36 PM
69 - 15 = ,54, 3,17/8/2017 7:05:36 PM
59 + 18 = ,77, 3,17/8/2017 7:05:36 PM
18 + 72 = ,90, 3,17/8/2017 7:05:36 PM
52 + 20 = ,72, 3,17/8/2017 7:05:36 PM
