Question,Your_Answer,Correct_Answer,Round,TimeStamp
138 - 51 = ,127, 87, 1,23/8/2017 6:53:21 PM
150 - 65 = ,095, 85, 1,23/8/2017 6:53:21 PM
128 - 64 = ,164, 64, 5,23/8/2017 7:06:20 PM
79 + 60 = ,169, 139, 5,23/8/2017 7:06:20 PM
59 + 85 = ,154, 144, 6,23/8/2017 8:16:36 PM
143 - 51 = ,192, 92, 6,23/8/2017 8:16:36 PM
83 + 51 = ,144, 134, 8,23/8/2017 8:28:14 PM
140 - 68 = ,172, 72, 8,23/8/2017 8:28:14 PM
119 + 68 = ,177, 187, 9,23/8/2017 8:35:45 PM
126 + 67 = ,194, 193, 12,23/8/2017 8:48:01 PM
83 + 67 = ,160, 150, 12,23/8/2017 8:48:01 PM
124 - 62 = ,186, 62, 12,23/8/2017 8:48:01 PM
