Question,Your_Answer,Round,TimeStamp
20 + 75 = ,95, 1,16/8/2017 4:23:37 PM
58 + 77 = ,135, 1,16/8/2017 4:23:37 PM
55 + 72 = ,127, 1,16/8/2017 4:23:37 PM
55 + 78 = ,133, 1,16/8/2017 4:23:37 PM
74 - 15 = ,59, 1,16/8/2017 4:23:37 PM
91 + 66 = ,157, 1,16/8/2017 4:23:37 PM
39 + 72 = ,111, 1,16/8/2017 4:23:37 PM
72 + 12 = ,84, 1,16/8/2017 4:23:37 PM
30 + 31 = ,61, 1,16/8/2017 4:23:37 PM
45 + 86 = ,131, 1,16/8/2017 4:23:37 PM
64 + 34 = ,98, 1,16/8/2017 4:23:37 PM
63 + 67 = ,130, 1,16/8/2017 4:23:37 PM
24 + 51 = ,75, 1,16/8/2017 4:23:37 PM
59 + 66 = ,125, 1,16/8/2017 4:23:37 PM
67 + 38 = ,105, 1,16/8/2017 4:23:37 PM
69 + 54 = ,123, 1,16/8/2017 4:23:37 PM
64 + 50 = ,114, 1,16/8/2017 4:23:37 PM
88 + 39 = ,127, 1,16/8/2017 4:23:37 PM
94 + 15 = ,109, 1,16/8/2017 4:23:37 PM
85 - 34 = ,51, 2,16/8/2017 4:29:12 PM
85 + 70 = ,155, 2,16/8/2017 4:29:12 PM
58 + 20 = ,78, 2,16/8/2017 4:29:12 PM
94 + 37 = ,131, 2,16/8/2017 4:29:12 PM
83 + 45 = ,128, 2,16/8/2017 4:29:12 PM
72 + 38 = ,110, 2,16/8/2017 4:29:12 PM
22 + 59 = ,81, 2,16/8/2017 4:29:12 PM
48 + 43 = ,91, 2,16/8/2017 4:29:12 PM
59 + 94 = ,153, 2,16/8/2017 4:29:12 PM
13 + 99 = ,112, 2,16/8/2017 4:29:12 PM
85 + 50 = ,135, 2,16/8/2017 4:29:12 PM
98 + 71 = ,169, 2,16/8/2017 4:29:12 PM
86 + 80 = ,166, 2,16/8/2017 4:29:12 PM
90 + 39 = ,129, 2,16/8/2017 4:29:12 PM
26 + 74 = ,100, 2,16/8/2017 4:29:12 PM
90 + 64 = ,154, 2,16/8/2017 4:29:12 PM
77 + 51 = ,128, 2,16/8/2017 4:29:12 PM
11 + 58 = ,69, 2,16/8/2017 4:29:12 PM
34 + 44 = ,78, 3,16/8/2017 4:32:47 PM
85 - 13 = ,72, 3,16/8/2017 4:32:47 PM
76 - 14 = ,62, 3,16/8/2017 4:32:47 PM
31 + 81 = ,112, 3,16/8/2017 4:32:47 PM
33 + 36 = ,69, 3,16/8/2017 4:32:47 PM
67 + 34 = ,101, 3,16/8/2017 4:32:47 PM
57 + 99 = ,156, 3,16/8/2017 4:32:47 PM
14 + 53 = ,67, 3,16/8/2017 4:32:47 PM
32 + 86 = ,118, 3,16/8/2017 4:32:47 PM
64 + 59 = ,123, 3,16/8/2017 4:32:47 PM
83 + 73 = ,156, 3,16/8/2017 4:32:47 PM
36 + 35 = ,71, 3,16/8/2017 4:32:47 PM
11 + 81 = ,92, 3,16/8/2017 4:32:47 PM
56 + 13 = ,69, 3,16/8/2017 4:32:47 PM
14 + 91 = ,105, 3,16/8/2017 4:32:47 PM
49 + 96 = ,145, 3,16/8/2017 4:32:47 PM
80 + 12 = ,92, 3,16/8/2017 4:32:47 PM
33 + 54 = ,87, 3,16/8/2017 4:32:47 PM
78 + 51 = ,129, 3,16/8/2017 4:32:47 PM
77 + 10 = ,87, 3,16/8/2017 4:32:47 PM
45 + 37 = ,82, 4,16/8/2017 4:36:06 PM
91 - 16 = ,75, 4,16/8/2017 4:36:06 PM
35 + 34 = ,69, 4,16/8/2017 4:36:06 PM
33 + 43 = ,76, 4,16/8/2017 4:36:06 PM
75 + 84 = ,159, 4,16/8/2017 4:36:06 PM
47 + 11 = ,58, 4,16/8/2017 4:36:06 PM
28 + 82 = ,110, 4,16/8/2017 4:36:06 PM
85 + 28 = ,113, 4,16/8/2017 4:36:06 PM
85 + 74 = ,159, 4,16/8/2017 4:36:06 PM
44 + 11 = ,55, 4,16/8/2017 4:36:06 PM
99 + 60 = ,159, 4,16/8/2017 4:36:06 PM
86 + 70 = ,156, 4,16/8/2017 4:36:06 PM
36 + 67 = ,103, 4,16/8/2017 4:36:06 PM
84 - 20 = ,64, 4,16/8/2017 4:36:06 PM
68 + 55 = ,123, 4,16/8/2017 4:36:06 PM
25 + 88 = ,113, 4,16/8/2017 4:36:06 PM
35 + 38 = ,73, 4,16/8/2017 4:36:06 PM
53 + 12 = ,65, 4,16/8/2017 4:36:06 PM
44 + 65 = ,109, 4,16/8/2017 4:36:06 PM
57 + 48 = ,105, 4,16/8/2017 4:36:06 PM
83 + 54 = ,137, 5,16/8/2017 4:39:17 PM
73 + 15 = ,88, 5,16/8/2017 4:39:17 PM
54 + 64 = ,118, 5,16/8/2017 4:39:17 PM
82 + 25 = ,107, 5,16/8/2017 4:39:17 PM
68 + 21 = ,89, 5,16/8/2017 4:39:17 PM
40 + 44 = ,84, 5,16/8/2017 4:39:17 PM
75 - 10 = ,65, 5,16/8/2017 4:39:17 PM
19 + 46 = ,65, 5,16/8/2017 4:39:17 PM
43 + 14 = ,57, 5,16/8/2017 4:39:17 PM
95 - 21 = ,74, 5,16/8/2017 4:39:17 PM
87 + 77 = ,164, 5,16/8/2017 4:39:17 PM
50 + 83 = ,133, 5,16/8/2017 4:39:17 PM
91 - 37 = ,54, 5,16/8/2017 4:39:17 PM
70 + 97 = ,167, 5,16/8/2017 4:39:17 PM
23 + 95 = ,118, 5,16/8/2017 4:39:17 PM
80 - 16 = ,64, 5,16/8/2017 4:39:17 PM
47 + 84 = ,131, 5,16/8/2017 4:39:17 PM
17 + 94 = ,111, 5,16/8/2017 4:39:17 PM
89 - 20 = ,69, 5,16/8/2017 4:39:17 PM
88 + 17 = ,105, 6,16/8/2017 4:43:42 PM
81 + 58 = ,139, 6,16/8/2017 4:43:42 PM
63 + 70 = ,133, 6,16/8/2017 4:43:42 PM
83 + 32 = ,115, 6,16/8/2017 4:43:42 PM
53 + 59 = ,112, 6,16/8/2017 4:43:42 PM
24 + 62 = ,86, 6,16/8/2017 4:43:42 PM
