Question,Your_Answer,Round,TimeStamp
18 + 67 = ,85, 1,19/8/2017 8:21:34 PM
32 + 30 = ,62, 1,19/8/2017 8:21:34 PM
74 - 57 = ,17, 1,19/8/2017 8:21:34 PM
36 + 41 = ,77, 1,19/8/2017 8:21:34 PM
89 - 16 = ,73, 1,19/8/2017 8:21:34 PM
35 - 17 = ,18, 1,19/8/2017 8:21:34 PM
99 - 65 = ,34, 1,19/8/2017 8:21:34 PM
75 - 45 = ,30, 1,19/8/2017 8:21:34 PM
96 - 74 = ,22, 1,19/8/2017 8:21:34 PM
31 + 14 = ,45, 1,19/8/2017 8:21:34 PM
84 - 79 = ,05, 1,19/8/2017 8:21:34 PM
73 + 22 = ,95, 1,19/8/2017 8:21:34 PM
51 - 25 = ,26, 1,19/8/2017 8:21:34 PM
89 - 30 = ,59, 1,19/8/2017 8:21:34 PM
16 + 47 = ,63, 1,19/8/2017 8:21:34 PM
16 + 37 = ,53, 1,19/8/2017 8:21:34 PM
28 + 39 = ,67, 1,19/8/2017 8:21:34 PM
24 + 56 = ,80, 1,19/8/2017 8:21:34 PM
26 + 30 = ,56, 1,19/8/2017 8:21:34 PM
63 - 43 = ,20, 1,19/8/2017 8:21:34 PM
30 + 15 = ,45, 2,19/8/2017 8:24:35 PM
56 - 20 = ,36, 2,19/8/2017 8:24:35 PM
90 - 78 = ,12, 2,19/8/2017 8:24:35 PM
35 + 28 = ,63, 2,19/8/2017 8:24:35 PM
64 - 28 = ,36, 2,19/8/2017 8:24:35 PM
43 + 26 = ,69, 2,19/8/2017 8:24:35 PM
36 + 29 = ,65, 2,19/8/2017 8:24:35 PM
97 - 21 = ,76, 2,19/8/2017 8:24:35 PM
30 + 14 = ,44, 2,19/8/2017 8:24:35 PM
24 - 15 = ,09, 2,19/8/2017 8:24:35 PM
48 - 41 = ,07, 2,19/8/2017 8:24:35 PM
63 - 40 = ,23, 2,19/8/2017 8:24:35 PM
95 - 61 = ,34, 2,19/8/2017 8:24:35 PM
30 + 49 = ,79, 2,19/8/2017 8:24:35 PM
87 - 62 = ,25, 2,19/8/2017 8:24:35 PM
75 - 18 = ,57, 2,19/8/2017 8:24:35 PM
93 - 20 = ,73, 2,19/8/2017 8:24:35 PM
11 + 69 = ,80, 2,19/8/2017 8:24:35 PM
80 - 64 = ,16, 2,19/8/2017 8:24:35 PM
89 - 45 = ,44, 2,19/8/2017 8:24:35 PM
44 + 53 = ,97, 3,19/8/2017 8:35:25 PM
74 + 10 = ,84, 3,19/8/2017 8:35:25 PM
22 + 50 = ,72, 3,19/8/2017 8:35:25 PM
14 + 62 = ,76, 3,19/8/2017 8:35:25 PM
16 + 21 = ,37, 3,19/8/2017 8:35:25 PM
82 - 25 = ,57, 3,19/8/2017 8:35:25 PM
17 + 49 = ,66, 3,19/8/2017 8:35:25 PM
42 + 24 = ,66, 3,19/8/2017 8:35:25 PM
83 - 50 = ,33, 3,19/8/2017 8:35:25 PM
60 - 44 = ,16, 3,19/8/2017 8:35:25 PM
80 + 14 = ,94, 3,19/8/2017 8:35:25 PM
95 - 53 = ,42, 3,19/8/2017 8:35:25 PM
52 - 44 = ,08, 3,19/8/2017 8:35:25 PM
18 + 54 = ,72, 3,19/8/2017 8:35:25 PM
92 - 32 = ,60, 3,19/8/2017 8:35:25 PM
22 + 12 = ,34, 3,19/8/2017 8:35:25 PM
98 - 15 = ,83, 3,19/8/2017 8:35:25 PM
35 + 52 = ,87, 3,19/8/2017 8:35:25 PM
75 - 38 = ,37, 3,19/8/2017 8:35:25 PM
99 - 47 = ,52, 3,19/8/2017 8:35:25 PM
25 + 20 = ,45, 4,19/8/2017 8:38:12 PM
89 - 48 = ,41, 4,19/8/2017 8:38:12 PM
90 - 65 = ,25, 4,19/8/2017 8:38:12 PM
43 + 48 = ,91, 4,19/8/2017 8:38:12 PM
10 + 85 = ,95, 4,19/8/2017 8:38:12 PM
92 - 44 = ,48, 4,19/8/2017 8:38:12 PM
64 + 27 = ,91, 4,19/8/2017 8:38:12 PM
92 - 60 = ,32, 4,19/8/2017 8:38:12 PM
37 + 40 = ,77, 4,19/8/2017 8:38:12 PM
79 - 25 = ,54, 4,19/8/2017 8:38:12 PM
38 + 21 = ,59, 4,19/8/2017 8:38:12 PM
94 - 60 = ,34, 4,19/8/2017 8:38:12 PM
60 + 29 = ,89, 4,19/8/2017 8:38:12 PM
67 - 65 = ,02, 4,19/8/2017 8:38:12 PM
47 + 17 = ,64, 4,19/8/2017 8:38:12 PM
23 + 17 = ,40, 4,19/8/2017 8:38:12 PM
60 + 21 = ,81, 4,19/8/2017 8:38:12 PM
79 - 47 = ,32, 4,19/8/2017 8:38:12 PM
38 + 39 = ,77, 4,19/8/2017 8:38:12 PM
34 + 21 = ,55, 4,19/8/2017 8:38:12 PM
13 + 79 = ,92, 5,19/8/2017 8:47:41 PM
58 + 39 = ,97, 5,19/8/2017 8:47:41 PM
99 - 65 = ,34, 5,19/8/2017 8:47:41 PM
69 + 22 = ,91, 5,19/8/2017 8:47:41 PM
90 - 25 = ,65, 5,19/8/2017 8:47:41 PM
29 + 45 = ,74, 5,19/8/2017 8:47:41 PM
67 + 15 = ,82, 5,19/8/2017 8:47:41 PM
20 + 30 = ,50, 5,19/8/2017 8:47:41 PM
34 + 11 = ,45, 5,19/8/2017 8:47:41 PM
85 - 47 = ,38, 5,19/8/2017 8:47:41 PM
77 + 21 = ,98, 5,19/8/2017 8:47:41 PM
89 - 58 = ,31, 5,19/8/2017 8:47:41 PM
76 - 42 = ,34, 5,19/8/2017 8:47:41 PM
44 + 52 = ,96, 5,19/8/2017 8:47:41 PM
96 - 52 = ,44, 5,19/8/2017 8:47:41 PM
21 + 52 = ,73, 5,19/8/2017 8:47:41 PM
14 + 79 = ,93, 5,19/8/2017 8:47:41 PM
54 + 24 = ,78, 5,19/8/2017 8:47:41 PM
79 - 42 = ,37, 5,19/8/2017 8:47:41 PM
64 - 33 = ,31, 5,19/8/2017 8:47:41 PM
11 + 61 = ,72, 6,19/8/2017 8:52:23 PM
29 + 10 = ,39, 6,19/8/2017 8:52:23 PM
43 - 40 = ,03, 6,19/8/2017 8:52:23 PM
28 + 53 = ,81, 6,19/8/2017 8:52:23 PM
92 - 71 = ,21, 6,19/8/2017 8:52:23 PM
63 + 21 = ,84, 6,19/8/2017 8:52:23 PM
42 + 53 = ,95, 6,19/8/2017 8:52:23 PM
70 - 30 = ,40, 6,19/8/2017 8:52:23 PM
69 - 66 = ,03, 6,19/8/2017 8:52:23 PM
48 - 12 = ,36, 6,19/8/2017 8:52:23 PM
96 - 58 = ,38, 6,19/8/2017 8:52:23 PM
55 - 18 = ,37, 6,19/8/2017 8:52:23 PM
22 + 43 = ,65, 6,19/8/2017 8:52:23 PM
64 - 18 = ,46, 6,19/8/2017 8:52:23 PM
80 - 73 = ,07, 6,19/8/2017 8:52:23 PM
94 - 86 = ,08, 6,19/8/2017 8:52:23 PM
86 - 19 = ,67, 6,19/8/2017 8:52:23 PM
10 + 19 = ,29, 6,19/8/2017 8:52:23 PM
26 + 30 = ,56, 6,19/8/2017 8:52:23 PM
43 - 33 = ,10, 7,19/8/2017 9:00:35 PM
74 + 12 = ,86, 7,19/8/2017 9:00:35 PM
33 - 13 = ,20, 7,19/8/2017 9:00:35 PM
72 - 48 = ,24, 7,19/8/2017 9:00:35 PM
90 - 78 = ,12, 7,19/8/2017 9:00:35 PM
98 - 51 = ,47, 7,19/8/2017 9:00:35 PM
62 + 35 = ,97, 7,19/8/2017 9:00:35 PM
98 - 87 = ,11, 7,19/8/2017 9:00:35 PM
98 - 91 = ,07, 7,19/8/2017 9:00:35 PM
35 + 40 = ,75, 7,19/8/2017 9:00:35 PM
64 - 10 = ,54, 7,19/8/2017 9:00:35 PM
63 + 19 = ,82, 7,19/8/2017 9:00:35 PM
96 - 10 = ,86, 7,19/8/2017 9:00:35 PM
22 + 54 = ,76, 7,19/8/2017 9:00:35 PM
62 - 31 = ,31, 7,19/8/2017 9:00:35 PM
30 + 39 = ,69, 7,19/8/2017 9:00:35 PM
82 - 63 = ,19, 7,19/8/2017 9:00:35 PM
53 + 13 = ,66, 7,19/8/2017 9:00:35 PM
28 + 30 = ,58, 7,19/8/2017 9:00:35 PM
26 + 26 = ,52, 7,19/8/2017 9:00:35 PM
27 - 17 = ,10, 8,19/8/2017 9:04:33 PM
53 + 29 = ,82, 8,19/8/2017 9:04:33 PM
67 - 21 = ,46, 8,19/8/2017 9:04:33 PM
13 + 44 = ,57, 8,19/8/2017 9:04:33 PM
69 - 42 = ,27, 8,19/8/2017 9:04:33 PM
75 - 25 = ,50, 8,19/8/2017 9:04:33 PM
72 + 26 = ,98, 8,19/8/2017 9:04:33 PM
17 + 78 = ,95, 8,19/8/2017 9:04:33 PM
63 + 29 = ,92, 8,19/8/2017 9:04:33 PM
23 + 20 = ,43, 8,19/8/2017 9:04:33 PM
26 + 55 = ,81, 8,19/8/2017 9:04:33 PM
39 + 39 = ,78, 8,19/8/2017 9:04:33 PM
26 + 72 = ,98, 8,19/8/2017 9:04:33 PM
25 + 24 = ,49, 8,19/8/2017 9:04:33 PM
32 + 40 = ,72, 8,19/8/2017 9:04:33 PM
13 + 44 = ,57, 8,19/8/2017 9:04:33 PM
23 - 15 = ,08, 8,19/8/2017 9:04:33 PM
82 - 76 = ,06, 8,19/8/2017 9:04:33 PM
98 - 10 = ,88, 8,19/8/2017 9:04:33 PM
24 + 39 = ,63, 8,19/8/2017 9:04:33 PM
50 + 24 = ,74, 9,19/8/2017 9:07:08 PM
12 + 46 = ,58, 9,19/8/2017 9:07:08 PM
48 + 49 = ,97, 9,19/8/2017 9:07:08 PM
80 - 17 = ,63, 9,19/8/2017 9:07:08 PM
26 + 46 = ,72, 9,19/8/2017 9:07:08 PM
66 - 38 = ,28, 9,19/8/2017 9:07:08 PM
30 - 15 = ,15, 9,19/8/2017 9:07:08 PM
13 + 77 = ,90, 9,19/8/2017 9:07:08 PM
